order_id,Customer_ID,order_date,total_amount,shipping_address,status
O500000,CUST046657,5/3/2025,3105.11,"1929 John Mountain Apt. 508, North Darrellland, MA 94976",Pending
O500001,CUST369743,12/28/2024,1198.04,"Unit 4727 Box 5266, DPO AP 91029",Shipped
O500002,CUST513148,6/21/2024,183.81,"174 Trevor Drive, Port Donnaburgh, WY 92856",Shipped
O500003,CUST492086,3/8/2025,3697.09,"04511 Perry Springs Suite 045, Christopherfort, OR 10790",Cancelled
O500004,CUST643477,6/29/2025,3217.74,"6828 Blake Glen, West Christinestad, WA 82357",Delivered
O500005,CUST075864,12/29/2024,3958.79,"95245 Patterson Village, New Evelyn, WY 08027",Delivered
O500006,CUST128049,2/27/2024,2433.17,"4683 Li Street, Lake Howardburgh, GA 75558",Delivered
O500007,CUST333991,2/12/2025,3590.38,"PSC 9719, Box 2736, APO AE 74563",Shipped
O500008,CUST677441,10/23/2024,2678.56,"361 Dustin Gardens Apt. 939, North Lauren, SC 45348",Returned
O500009,CUST233932,10/3/2024,2370.43,"USS Gregory, FPO AA 11619",Returned
O500010,CUST391699,4/30/2024,4687.48,"3686 Lisa Freeway Apt. 108, West Deborah, MT 71142",Returned
O500011,CUST995272,4/29/2025,4810.31,"113 Burke Crossroad Suite 093, East Mark, NV 41156",Delivered
O500012,CUST939706,3/6/2024,4086.07,"972 Smith Village, Johnville, NE 94283",Cancelled
O500013,CUST817952,1/8/2024,2136.41,"441 Holly Center Suite 873, Deanmouth, MO 79256",Returned
O500014,CUST338183,8/7/2023,1870.53,"5804 Jimenez Islands Suite 465, North Cassandramouth, MA 90377",Delivered
O500015,CUST004050,7/13/2023,4087.43,"57383 Drake Pass Suite 259, West Lauraside, SC 86019",Cancelled
O500016,CUST356523,4/20/2025,761.42,"53467 Hoffman Brooks, North Brian, GA 13363",Shipped
O500017,CUST552648,10/14/2023,4722.34,"882 Turner Trail Apt. 213, Michaelchester, ID 20209",Returned
O500018,CUST493528,8/27/2023,1640.7,"0832 Anna Skyway, Grayhaven, KY 14879",Shipped
O500019,CUST964034,12/25/2024,548.38,"57571 Sheila Divide, Williamburgh, MD 56086",Returned
O500020,CUST002660,10/26/2024,3495.33,"8982 Yates Views, North Jacob, OR 91842",Cancelled
O500021,CUST657240,1/2/2025,680.41,"3976 Shelby Common, West Christophermouth, IA 58114",Cancelled
O500022,CUST684833,5/25/2024,2921.16,"71832 Roy Pass, Scottstad, IL 40793",Delivered
O500023,CUST651624,3/16/2024,1684.82,"USCGC Lee, FPO AP 67483",Delivered
O500024,CUST365687,11/28/2024,1114.97,"4107 Ray Rue, Duncanstad, MS 79734",Returned
O500025,CUST757676,12/21/2024,339.75,"407 Kevin Port Suite 131, South Williamton, KS 38455",Cancelled
O500026,CUST759366,8/10/2023,3992.71,"421 Luis Walk Apt. 338, Linhaven, IN 73538",Cancelled
O500027,CUST555018,3/17/2024,2887.99,"27520 Cody Gateway Suite 990, Wisebury, WA 91006",Cancelled
O500028,CUST783169,11/9/2024,3854.77,"74497 Brian Junction, West Gary, IL 41619",Cancelled
O500029,CUST065535,11/22/2024,363.31,"84850 Jason Gardens, Hayesberg, OK 57548",Shipped
O500030,CUST251420,8/21/2024,3417.64,"56479 Robbins Terrace Apt. 595, West Jessica, CT 42245",Cancelled
O500031,CUST929159,2/3/2024,4234.14,"53787 Ponce Circle, Smithmouth, NC 30722",Returned
O500032,CUST188632,3/16/2025,286.28,"17468 Gonzalez Corner Suite 225, North Heathertown, TX 61050",Pending
O500033,CUST215598,1/29/2025,2110.04,"20731 Moyer Courts, East Emily, NC 83317",Pending
O500034,CUST584723,7/8/2024,2899.78,"22607 Paul Skyway, Port Kayla, HI 36039",Cancelled
O500035,CUST045016,12/13/2023,1613.71,"593 Mathis Fork Apt. 199, Port Lisa, VA 53959",Cancelled
O500036,CUST186057,4/12/2025,512.77,"36373 Moran Wells Apt. 201, North Megan, ME 20776",Delivered
O500037,CUST095874,10/5/2024,1089.04,"6647 Gross Fort, New Robert, NM 69415",Delivered
O500038,CUST532498,1/12/2025,4383.17,"Unit 4164 Box 0525, DPO AA 27145",Pending
O500039,CUST132364,10/20/2023,2714.49,"096 Patricia Roads, South Mathewland, AR 43179",Returned
O500040,CUST803094,11/25/2024,4629.79,"733 Leslie Drive Apt. 106, Keithborough, OH 30657",Returned
O500041,CUST115503,3/22/2025,2860.99,"6369 Perez Vista, Jasmineview, ME 45218",Cancelled
O500042,CUST933458,1/15/2025,3553.08,"6921 Michael Throughway, Port Charlesberg, WI 15300",Pending
O500043,CUST495719,9/7/2023,4611.02,"93957 Todd Light Suite 035, Amberside, UT 66400",Cancelled
