author_id,first_name,last_name,birth_date,nationality
1,Danielle,Johnson,1963-03-19,American
2,John,Taylor,1951-06-22,Japanese
3,Erica,Mcclain,1950-05-31,Canadian
4,Brittany,Johnson,1950-11-15,Japanese
5,Jeffery,Wagner,1946-04-21,Japanese
6,Anna,Baldwin,1992-03-22,French
7,Amy,Robinson,1984-08-06,Chinese
8,Joshua,Booth,1996-02-19,American
9,Linda,Wolfe,1967-08-26,Italian
10,Joshua,Lewis,1996-06-14,Indian
11,Matthew,Davis,1951-01-29,Japanese
12,Michael,Cooper,1962-07-01,Indian
13,Lindsay,Blair,1980-12-27,Indian
14,David,Nielsen,1949-11-10,Japanese
15,Andrea,Calderon,1986-08-03,Japanese
16,Nicole,Ward,1957-08-01,Brazilian
17,Janet,Williams,1960-01-03,Indian
18,Kendra,Galloway,1960-05-04,American
19,Michelle,James,1975-05-09,French
20,Cynthia,Diaz,1969-09-08,Brazilian
21,Michael,Santiago,1992-04-03,Indian
22,Sharon,Wong,1985-12-13,German
23,Cynthia,Ferguson,1961-02-26,German
24,Frank,Gray,1988-01-19,Canadian
25,Hailey,Robinson,1966-07-26,French
26,Megan,Parsons,1960-02-01,American
27,Lydia,Trujillo,1971-10-19,German
28,Joseph,Clark,1983-02-04,American
29,Nancy,Edwards,1989-02-06,Spanish
30,Victor,Wilkerson,1988-03-30,American
31,Stephen,Baker,1961-04-12,American
32,Julie,Ryan,1995-05-02,Brazilian
33,Brenda,Hurst,1971-09-05,Canadian
34,Michael,Osborn,1953-11-29,Italian
35,William,Davis,1947-09-15,Italian
36,Michelle,Hernandez,1955-05-21,Japanese
37,Laura,Henderson,1948-10-26,Japanese
38,Paul,Carlson,1976-05-07,Italian
39,Allison,Maddox,1945-04-12,Spanish
40,Erin,Wilson,1981-01-14,British
41,Karen,Mack,1967-08-25,French
42,Daniel,Graham,1975-05-17,Spanish
43,Aaron,Bowen,1993-06-21,Indian
44,Jose,Mason,1956-08-27,Chinese
45,William,Rodriguez,1987-01-18,German
46,Kenneth,Fowler,1985-12-09,Italian
47,James,Brooks,1955-06-29,British
48,Amber,Osborne,1980-08-03,Spanish
49,Samantha,George,1977-09-30,German
50,Andrew,Hickman,1999-05-26,Italian
51,Kyle,Brown,1983-02-08,Indian
52,Stacey,Miller,1977-07-27,Spanish
53,Lisa,Spence,1980-09-30,Chinese
54,Katie,Anderson,1976-11-03,Italian
55,Stacey,Martin,1980-05-28,Chinese
56,Monique,Henderson,1958-11-29,French
57,Sarah,Campos,1991-06-11,Brazilian
58,James,Collins,1990-03-16,Spanish
59,Debra,Kim,1979-09-20,Brazilian
60,Shannon,Wright,1948-11-08,American
61,Matthew,Chapman,1960-02-27,Indian
62,Brianna,Smith,1992-08-31,American
63,Crystal,Perez,1946-08-20,French
64,Michele,Jones,1960-09-10,German
65,Joshua,Washington,1981-03-11,British
66,David,Walls,1983-05-11,German
67,Barbara,Sanchez,1976-09-06,Brazilian
68,Lindsey,Lee,1951-02-04,Brazilian
69,Donna,Gomez,1972-06-22,Spanish
70,Stuart,Daniel,1990-04-27,Chinese
71,Denise,Lucas,1948-08-15,Brazilian
72,Richard,Morgan,1951-12-07,German
73,John,Lee,1975-01-10,British
74,Donald,White,1975-12-24,Italian
75,John,Leblanc,1974-08-27,British
76,Lindsey,Chase,1951-02-28,Brazilian
77,Brent,Kidd,1945-07-02,Japanese
78,Tanya,House,1960-08-01,British
79,Gabriel,Tucker,1959-01-16,Chinese
80,Michelle,Barrera,1955-09-14,Brazilian
81,Nicholas,Galloway,1962-07-18,Indian
82,Sara,Glover,1963-11-28,British
83,Rodney,Bernard,1997-10-21,Japanese
84,Angela,Higgins,1955-01-12,Italian
85,James,Robinson,1948-06-23,Chinese
86,Beth,Daniels,1995-05-26,British
87,Lee,Williams,1976-12-10,French
88,Wesley,Farrell,1955-03-19,Spanish
89,Brian,Romero,1957-02-21,German
90,Casey,Jones,1960-07-03,Chinese
91,Richard,David,1983-04-07,French
92,John,Wheeler,1986-08-24,Indian
93,Christopher,Sandoval,1982-12-17,Japanese
94,Alexandra,Donovan,1958-05-25,Indian
95,Elizabeth,Edwards,1962-07-28,Indian
96,Randy,Powers,1964-11-29,Canadian
97,Stephen,Hickman,1949-06-08,Chinese
98,Albert,Howell,1982-10-23,Indian
99,Wendy,Jones,1959-01-01,German
100,William,Anderson,1968-03-31,Japanese
