Customer Id,Customer Name,Customer Location,Region
CUST_00001,William Hess,South Kelsey,Central
CUST_00002,Larry Smith,North Lisa,South
CUST_00003,Leah Copeland,South Todd,Central
CUST_00004,Dan Kirby,New Jordanmouth,South
CUST_00005,Dean Martin,Keithton,East
CUST_00006,Monica Berry,West Heather,Central
CUST_00007,Nicole Gonzalez,South Miguel,North
CUST_00008,Danielle Smith,North Travis,South
CUST_00009,Kyle Brown,West Dakota,East
CUST_00010,Miranda Clayton,North Deanna,North
CUST_00011,Ms. Katie Anderson,Lake Laurenfort,North
CUST_00012,Jennifer Taylor,Allenside,East
CUST_00013,Steven Foster,Victorberg,West
CUST_00014,Louis Young,New Kyletown,Central
CUST_00015,Laura Martin,East Katherine,West
CUST_00016,Cristian Briggs,Port Nicole,East
CUST_00017,Douglas Bass,North Glennmouth,North
CUST_00018,Paul Stokes,Chapmanside,West
CUST_00019,Jonathan Morgan,Zacharyside,Central
CUST_00020,Paula Sims,Lake Williamshire,West
CUST_00021,Mr. James Harris,Rayville,South
CUST_00022,David Anderson,Masonmouth,West
CUST_00023,Brian Baker,Maryville,Central
CUST_00024,William Scott,Smithview,North
CUST_00025,Megan Valenzuela,North Raymondtown,South
CUST_00026,William Wilson,Burtonhaven,West
CUST_00027,Dennis Taylor,Paulport,South
CUST_00028,Olivia Garcia,Thomasside,Central
CUST_00029,Bruce Terry,Jeremyton,West
CUST_00030,Kyle Wright,Vaughanchester,South
CUST_00031,Evan Olson,South David,Central
CUST_00032,Jamie Ramirez,Lake Thomasshire,East
CUST_00033,Sarah Perez,New Jamiestad,Central
CUST_00034,Nina Butler,Lake Aaron,South
CUST_00035,Gary Williams,Mitchellton,North
CUST_00036,Nicole Wood,Ruiztown,West
CUST_00037,Mr. Michael Taylor,Nortonland,West
CUST_00038,Max Harrison,South Elizabethchester,South
CUST_00039,Joel Turner,Craigborough,South
CUST_00040,Keith Smith,Jonesport,West
CUST_00041,Leslie Gomez,Anthonyhaven,North
CUST_00042,Logan Grant,Parkerberg,Central
CUST_00043,Michelle Mckinney,Alyssaburgh,South
CUST_00044,Joel Stevenson,Michellebury,Central
CUST_00045,Matthew Kennedy,South Ericaside,East
CUST_00046,Luke Adams,Josebury,North
CUST_00047,Gregory Jones,East Scottport,North
CUST_00048,Ryan Lee,New Jessica,East
CUST_00049,Luis Snyder,West Kurt,Central
CUST_00050,Brian Avila,East Julia,Central
CUST_00051,Jesus Webster,West Jordan,Central
CUST_00052,Diana Smith,Walkermouth,West
CUST_00053,Diana Owens,New Jefferyfurt,North
CUST_00054,Edward Torres,Jonesfort,West
CUST_00055,Amy Brown,North Lisa,Central
CUST_00056,Ian Coleman,North Brian,West
CUST_00057,Ashley Mccoy,Mcculloughchester,West
CUST_00058,Gabriel Guerra,Lake Codyborough,North
CUST_00059,Kristin Rodriguez,Port Anthonyburgh,West
CUST_00060,Joseph Williams MD,Hernandezberg,West
CUST_00061,Laura Davis,Shermanstad,West
CUST_00062,Holly Morales,Chanville,East
CUST_00063,Walter Levine,New Jasonchester,Central
CUST_00064,Michelle Gallagher,West Jesseton,North
CUST_00065,Elizabeth Austin,East Alexanderside,North
CUST_00066,Rebecca Daniels,Port Bonnie,Central
CUST_00067,Johnny Rodriguez,Port Brian,West
CUST_00068,Daniel Marshall,Lake Sarahmouth,West
CUST_00069,Dana Conner,Cabreraland,South
CUST_00070,Jessica Kelly,New Alex,Central
CUST_00071,Diane Hernandez,Davidland,East
CUST_00072,David Moss,Maysfurt,West
CUST_00073,Ryan Keith,Williammouth,North
CUST_00074,Elizabeth Walker,Benjaminstad,Central
CUST_00075,Elizabeth Martinez,Lake Victoriaborough,West
CUST_00076,Heather Williams,New Willie,South
CUST_00077,Cassandra Gray,Port Bethanystad,North
CUST_00078,Stefanie Cummings,North Matthew,Central
CUST_00079,Larry Mcintyre,Port Edward,Central
CUST_00080,Robert Buchanan,Port Jaime,East
CUST_00081,David Wilson,New Carolyn,East
CUST_00082,Jacob Craig,Townsendfurt,South
CUST_00083,Robin Clark,Jocelyntown,West
CUST_00084,David Kerr,Jamesville,North
CUST_00085,Stephanie Miller,Nicolebury,East
CUST_00086,John Tran,Pattonfurt,Central
CUST_00087,Mary Bailey,South Laurieville,West
CUST_00088,Jason Townsend,Solisfort,West
CUST_00089,Stephanie Snyder,West Jimmytown,Central
CUST_00090,Desiree Williams,Lindafort,North
CUST_00091,Teresa Powers,Robertburgh,West
CUST_00092,Brandon Lopez,Aguirreton,East
CUST_00093,Blake Fitzpatrick,New Sarafort,Central
CUST_00094,Calvin James,North Albertmouth,South
CUST_00095,Michelle Ruiz,Longside,West
CUST_00096,Cole Roberson,West Amyshire,West
CUST_00097,Edward Smith,Delgadoburgh,West
CUST_00098,April Pena,Brandonfurt,Central
CUST_00099,David Evans,East Thomasburgh,North
CUST_00100,Christopher Mclaughlin,Stevenshire,East
CUST_00101,Shawn Bryant,South Matthew,South
CUST_00102,Caroline Patterson,Port Ericaland,Central
CUST_00103,Rachel Gillespie,Hooperfurt,Central
CUST_00104,Jamie Olson,East Justin,West
CUST_00105,Ebony Johnson,Santiagobury,West
CUST_00106,Jennifer Lawrence,West Douglas,North
CUST_00107,Diane Lawrence,South Barbara,East
CUST_00108,Kenneth Freeman,Matthewsfort,East
CUST_00109,Nicholas Delgado MD,West Kellychester,South
CUST_00110,David Jones,Justinstad,West
CUST_00111,Ellen Rodriguez,New Michellemouth,Central
CUST_00112,Shane Gonzalez,Daughertytown,South
CUST_00113,Kristin Lang MD,Lake Amandaton,South
CUST_00114,Carl Lewis,South Glennhaven,West
CUST_00115,John Hill,Veronicaport,North
CUST_00116,Daniel Harris,Willisfurt,Central
CUST_00117,Samantha Wood,Adammouth,West
CUST_00118,Alice Gardner,Lake Monica,East
CUST_00119,Tiffany Krueger,New Normamouth,South
CUST_00120,Jonathan Hill,West Ericbury,South
CUST_00121,Katherine Miller,Lake Phillipborough,East
CUST_00122,Dustin Wilkins,Gouldville,West
CUST_00123,Lonnie Rodriguez MD,Micheleshire,West
CUST_00124,Taylor Abbott,Martinberg,North
CUST_00125,Kathleen Massey,New Kristieport,South
CUST_00126,Janet Collins,North Ericfurt,West
CUST_00127,Lauren Roberts,Davidtown,West
CUST_00128,Sherry Martinez,Deckerton,West
CUST_00129,Andre Carroll,Matthewberg,North
CUST_00130,Theresa Todd,Jamesfort,East
CUST_00131,Katherine Crawford,New Jenniferview,West
CUST_00132,David Brewer,Lake Kellymouth,South
CUST_00133,Michelle Hardy,Davidberg,North
CUST_00134,Megan Beasley,Port Beverly,East
CUST_00135,Chelsea Horn,Aguilarshire,North
CUST_00136,Diane Palmer,Bellmouth,Central
CUST_00137,Stephanie Stone,East Mirandaside,East
CUST_00138,Samantha Turner,West Ronaldburgh,East
CUST_00139,Brian Thomas,Walkerland,Central
CUST_00140,Michael Sullivan,Williamsstad,East
CUST_00141,Harold Nolan,Timothyburgh,West
CUST_00142,Kyle Barron,Alexandriashire,East
CUST_00143,Betty Snyder,Port Stephaniehaven,South
